Alex,Ellie,Christina,Jasmine,Tyler,Christina,Jessica,Jasmine,Jasmine,Jasmine,Jasmine
Anthony,Jessica,Alexandria,Jenni,Jenni,Ashley,Ellie,Briana,Jessica,Alexandria,Alexandria
Brandon,Christina,Tyler,Shelby,Ellie,Jasmine,Ashley,Tyler,Tyler,Briana,Briana
Curtis,Briana,Briana,Briana,Briana,Shelby,Shelby,Shelby,Shelby,Shelby,Shelby
Dario,Ashley,Shelby,Ashley,Shelby,Alexandria,Briana,Ashley,Ashley,Tyler,Ashley
Garland,Alexandria,Jasmine,Alexandria,Jasmine,Tyler,Tyler,Jessica,Alexandria,Jessica,Jessica
John,Jasmine,Ashley,Christina,Christina,Jenni,Alexandria,Jenni,Jenni,Jenni,Jenni
Layton,Jenni,Jessica,Ellie,Jessica,Briana,Jenni,Ellie,Ellie,Ashley,Christina & Tyler
Nathan,Shelby,Jenni,Jessica,Alexandria,Jessica,Jasmine,Christina,Briana,Ellie,Ellie
Pratt,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris
Correct Matches,2,2,3,1,3,2,6,5,8,10
